author,text,likes,published_at,cleaned,length,emojis,polarity,subjectivity,sentiment,hour,day_of_week,month
@FuriousGamingOp,🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳💛💛💛💛🇮🇳🇮🇳🇮🇳🇮🇳DIL SE GODLIKE 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳💛💛💛💛💛,0,2022-01-22 14:15:30,DIL SE GODLIKE,56,"['💛', '💛', '💛', '💛', '💛', '💛', '💛', '💛', '💛']",0.0,0.0,Neutral,14,5,1
@afiq3127,jonapan,0,2021-11-28 02:03:10,jonapan,7,[],0.0,0.0,Neutral,2,6,11
@samartstudy5290,♥️😍,0,2022-08-17 22:09:23,,3,"['♥', '😍']",0.0,0.0,Neutral,22,2,8
@husenvermastudio512,Dekh lo bhai goblin apna level @goblin,0,2025-09-15 14:03:08,Dekh lo bhai goblin apna level,38,[],0.0,0.0,Neutral,14,0,9
@vivekbokadia3966,💛💛💛,0,2022-01-20 03:08:48,,3,"['💛', '💛', '💛']",0.0,0.0,Neutral,3,3,1
@KamalSammal-fs5le,❤❤❤❤,0,2024-02-04 16:28:03,,4,"['❤', '❤', '❤', '❤']",0.0,0.0,Neutral,16,6,2
@devild2086,Haker bolta hai😎,0,2021-11-29 17:56:00,Haker bolta hai,16,['😎'],0.0,0.0,Neutral,17,0,11
@Cristianoxviru,June 2025,1,2025-07-06 12:48:43,June 2025,9,[],0.0,0.0,Neutral,12,6,7
@DLUFFYGAMING7,❤❤,0,2021-12-01 04:48:41,,2,"['❤', '❤']",0.0,0.0,Neutral,4,2,12
@god_x_piyush6752,😍😍😍🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,0,2021-11-29 14:53:59,,13,"['😍', '😍', '😍']",0.0,0.0,Neutral,14,0,11
@mahendrarajput4564,10_2_2025,2,2025-02-10 15:29:14,1022025,9,[],0.0,0.0,Neutral,15,0,2
@交Hyper公WHITE,🐐🐐🐐🫡☠️,1,2025-09-18 07:28:41,,6,"['🐐', '🐐', '🐐', '\U0001fae1', '☠']",0.0,0.0,Neutral,7,3,9
@TheSeagull0020,Scout bhai ki Vedio nhi hai isme,0,2022-08-16 04:32:24,Scout bhai ki Vedio nhi hai isme,32,[],0.0,0.0,Neutral,4,1,8
@rohan26669,2025 me dekh raha hu,0,2025-12-01 05:46:35,2025 me dekh raha hu,20,[],0.0,0.0,Neutral,5,0,12
